"Fruits: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2020 January","2020 February","2020 March","2020 April","2020 May","2020 June","2020 July","2020 August","2020 September","2020 October","2020 November","2020 December","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December"
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, LANZONES, 1 KG",156.25,156.25,166.25,170.00,172.50,176.25,170.00,172.50,145.00,150.00,151.25,153.75,156.25,156.25,156.25,156.25,157.50,156.25,161.25,161.25,161.25,160.00,161.25,165.00,172.50,177.50,177.50,177.50,177.50,177.50,177.50,177.50,182.50,196.25,196.25,203.75,203.75,210.00,201.25,201.25,201.25,201.25,201.25,200.00,166.88,158.13,171.25,179.38,184.38,190.63,187.50,193.13,199.38,201.25,195.00,196.25,186.88,181.25,176.88,198.13
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, RAMBUTAN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, POMELO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, ORANGE, DALANDAN, MEDIUM, 1 KG",55.34,55.77,59.78,59.80,66.79,71.44,63.61,64.85,63.93,64.97,63.69,64.48,66.43,68.17,69.43,69.43,69.49,69.49,69.17,68.89,72.22,68.06,65.42,65.14,66.67,66.67,67.78,68.89,71.60,73.27,73.89,73.27,69.72,68.68,66.46,69.65,75.28,75.49,75.49,76.74,75.49,75.21,78.54,78.40,78.68,77.78,77.99,80.07,83.40,80.14,75.77,74.73,72.23,69.10,69.31,68.27,67.85,65.69,64.52,69.17
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, ORANGE, SINTONES, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, MANDARIN, DALANGHITA, MEDIUM, 1 KG",42.71,42.09,42.71,44.79,45.70,45.21,47.95,49.11,47.65,45.17,46.19,48.76,50.43,50.43,47.80,50.09,51.42,52.17,52.08,52.08,58.45,52.44,51.25,51.64,50.03,49.38,47.80,46.85,49.40,50.45,51.76,55.33,53.52,44.82,43.87,49.59,53.93,52.47,52.47,52.95,52.95,52.95,56.70,54.67,55.21,44.85,43.84,47.77,49.56,50.18,48.36,48.14,47.66,52.57,55.96,54.32,56.67,54.85,53.13,60.12
"..REGION II (CAGAYAN VALLEY)","CALAMANSI, LOOSE, 1 KG",64.38,59.82,54.62,98.84,75.43,65.03,68.29,54.63,52.03,48.13,46.18,49.43,66.34,61.14,87.16,71.55,79.36,74.16,63.75,60.00,62.50,52.50,45.00,60.00,66.25,65.00,68.75,80.00,70.00,68.75,72.50,61.25,53.13,57.50,71.25,81.25,84.38,61.88,90.00,97.50,97.50,71.25,67.50,67.50,48.75,55.00,71.25,61.25,66.25,80.00,81.25,73.75,86.25,85.00,98.75,113.75,80.00,65.00,72.50,66.88
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, APPLE, RED DELICIOUS, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, CANTALOUPE, MELON, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","FRESH FRUIT, WATERMELON, PAKWAN, MEDIUM, 1 KG",119.68,119.68,114.84,104.76,103.96,79.78,41.10,39.89,39.89,39.89,41.10,41.71,42.31,42.31,46.55,56.10,40.51,38.09,36.88,41.25,43.75,45.00,45.00,46.25,50.63,40.63,38.75,36.88,31.88,32.50,31.25,33.75,33.75,33.75,34.38,35.00,35.63,31.25,30.63,31.25,34.75,32.88,34.38,36.25,36.25,36.25,37.50,41.25,43.13,41.25,42.29,37.50,32.50,31.88,35.63,34.38,34.38,34.63,36.25,36.88
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, AVOCADO, 1 KG",125.80,138.77,129.69,146.99,138.77,101.16,86.89,88.19,90.78,90.78,93.37,95.96,106.71,157.10,149.79,149.79,152.38,126.44,121.25,101.25,94.29,88.57,97.14,97.14,112.50,116.25,122.50,143.75,157.50,178.75,163.75,112.50,125.00,140.00,142.86,142.86,211.25,226.25,204.75,206.00,194.86,143.33,130.00,96.67,105.00,109.17,109.17,111.67,120.00,128.33,136.67,146.67,172.75,168.00,126.25,107.50,115.00,118.75,127.50,127.50
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",72.55,72.94,77.12,86.91,89.71,84.73,81.54,82.49,81.24,82.18,82.58,87.26,88.70,85.28,83.75,82.25,81.58,78.63,76.62,75.28,72.92,73.12,71.38,69.91,70.37,70.20,70.01,70.62,69.87,70.09,71.07,69.84,69.05,68.47,69.19,73.50,84.14,83.91,87.10,89.92,91.29,91.45,91.08,91.86,91.06,91.75,95.50,98.65,101.29,102.72,102.79,103.92,102.30,100.98,100.10,102.06,101.70,104.64,105.57,108.59
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",49.40,50.77,52.98,59.81,60.19,57.34,52.99,52.36,53.45,53.02,51.27,52.10,54.50,55.93,54.62,52.79,53.26,53.20,51.36,52.00,51.40,50.56,50.17,50.76,51.47,50.77,49.36,50.15,49.96,49.01,48.93,49.04,47.93,50.60,52.36,53.09,59.43,59.69,61.19,59.69,60.40,62.33,61.31,63.60,64.60,62.27,64.39,64.74,67.70,67.20,66.93,67.47,64.83,64.72,64.30,67.04,67.82,68.33,66.04,67.95
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",39.60,39.27,40.76,45.63,42.57,40.42,37.13,40.97,38.91,38.76,38.60,39.54,42.11,44.96,45.17,45.07,43.04,39.02,38.54,38.13,38.96,40.21,40.00,38.96,37.50,34.17,34.29,33.75,34.38,29.17,30.25,29.38,29.46,30.00,29.71,30.46,35.63,34.80,35.21,36.25,35.21,34.63,36.46,37.09,36.25,35.21,35.34,36.17,35.13,35.13,34.29,35.13,32.84,32.42,32.84,33.88,35.34,35.00,34.50,36.34
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, GUAVA, BAYABAS, 1 KG",74.81,78.01,90.04,87.69,86.92,80.63,78.72,71.85,75.60,73.65,75.52,81.81,87.07,85.67,87.28,86.03,89.57,92.69,92.59,93.31,91.66,92.59,90.72,95.27,100.63,103.13,104.42,108.34,105.67,85.82,84.84,85.32,78.54,87.40,81.25,99.59,107.28,101.03,100.94,95.63,98.98,114.02,103.66,96.30,98.48,103.13,107.32,112.32,146.88,136.39,121.50,128.40,115.00,121.25,128.57,125.45,120.90,121.07,123.40,140.81
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",46.25,44.38,31.88,36.25,26.25,23.13,23.75,30.00,31.25,33.13,38.13,36.88,60.63,73.75,40.63,33.13,27.50,24.38,23.13,26.25,26.88,38.13,38.13,59.38,56.88,40.63,33.75,30.63,21.88,18.75,35.63,41.25,59.38,60.00,81.88,66.25,63.75,51.25,43.13,36.25,30.00,28.13,26.88,31.88,39.38,38.13,63.13,76.88,58.13,47.50,36.25,32.50,30.63,28.13,30.63,32.50,80.00,80.00,80.00,90.00
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",186.82,184.21,183.14,159.26,135.44,97.91,124.85,136.32,145.56,163.89,174.71,178.15,209.52,215.10,191.14,172.26,145.36,130.09,134.56,146.00,151.20,160.25,170.10,173.99,163.82,159.73,144.88,125.09,112.19,128.95,157.76,169.65,170.11,175.65,186.10,184.04,184.85,177.59,169.39,156.67,145.18,129.39,142.00,170.20,195.18,207.37,204.89,206.69,195.75,175.16,158.36,140.53,124.34,99.35,138.98,162.70,223.39,249.42,211.93,209.89
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANGO, NATIVE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANGO, NATIVE, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",141.81,137.00,140.61,131.40,117.78,97.35,126.20,141.83,141.83,139.43,139.43,139.43,150.42,149.73,158.66,140.11,115.39,96.16,138.75,142.50,151.25,158.75,173.57,200.63,146.88,142.50,148.75,138.75,116.25,110.00,131.75,174.50,189.00,225.25,226.50,235.88,229.38,224.38,211.25,172.00,150.88,141.25,147.50,162.50,211.25,230.00,242.50,228.75,248.75,216.63,196.63,182.50,168.75,122.25,141.25,182.50,196.25,238.75,237.25,246.00
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANGO, RIPE, MEDIUM, 1 KG",156.10,161.72,167.34,154.24,122.42,88.73,132.54,152.76,158.38,146.02,138.16,142.65,183.57,187.42,166.88,151.48,125.81,112.97,142.50,153.75,176.25,180.63,201.86,195.38,177.38,173.50,190.00,164.38,122.50,123.75,145.50,185.75,199.00,235.25,236.50,244.63,239.38,231.88,215.00,171.43,113.33,93.33,101.67,131.67,226.25,252.50,260.00,242.50,262.50,239.13,210.38,193.75,177.50,126.00,141.25,190.00,206.25,248.75,257.25,267.25
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PAPAYA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PAPAYA, NATIVE, MEDIUM, 1 KG",47.18,48.99,47.26,55.39,49.82,49.07,54.56,52.85,53.93,50.87,44.58,48.27,51.74,51.12,52.54,52.94,52.77,48.67,50.32,50.63,51.25,55.00,53.13,50.00,44.69,43.93,41.69,41.69,44.38,38.63,40.94,40.69,41.94,40.69,43.50,41.75,53.57,47.63,50.00,48.75,45.32,45.32,47.50,49.69,49.38,53.13,54.38,55.00,50.94,51.25,52.51,51.57,52.51,52.19,51.57,54.38,60.63,59.69,56.19,59.69
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PAPAYA, NATIVE, RIPE, MEDIUM, 1 KG",51.06,52.08,49.69,50.13,49.89,51.12,53.02,53.55,52.46,52.25,50.00,52.59,55.02,57.17,58.70,54.99,53.68,52.09,47.99,52.54,51.38,50.24,49.33,47.88,51.89,49.64,47.88,49.06,48.73,47.75,47.26,49.42,49.00,47.63,47.13,48.35,50.10,49.98,53.31,53.06,52.85,53.52,52.89,54.68,54.79,53.36,54.46,53.96,54.21,53.93,53.24,55.34,53.95,54.45,53.97,54.24,54.13,57.23,57.90,58.99
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PAPAYA, SOLO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PAPAYA, TAGALOG, MEDIUM, 1 KG",54.41,55.02,58.69,52.17,55.03,56.25,59.92,57.47,57.47,55.02,53.80,55.02,57.47,56.25,56.25,53.80,56.25,55.03,56.25,56.25,55.00,55.63,55.00,55.63,55.63,52.50,51.88,53.75,56.25,54.38,55.63,53.75,55.00,58.13,60.63,63.13,59.38,57.50,54.38,55.63,60.00,61.25,62.50,63.75,66.25,66.25,66.25,66.25,65.63,65.38,64.38,63.63,64.88,63.13,71.88,76.88,70.63,66.50,66.00,64.75
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",84.57,82.34,84.57,83.08,88.47,100.15,93.47,91.25,91.25,85.68,75.67,86.24,85.13,89.02,87.90,84.56,87.90,91.24,89.02,88.03,85.73,85.32,84.17,82.61,98.54,89.90,92.09,92.19,95.84,91.04,73.23,77.29,80.63,82.50,84.07,83.00,79.04,84.25,83.84,89.46,88.68,83.78,73.17,70.40,73.42,73.84,78.11,79.67,80.50,79.46,81.65,89.36,98.96,97.71,75.84,69.59,74.17,76.25,85.00,86.25
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",72.13,71.79,69.63,74.66,78.50,66.29,72.23,69.97,68.74,67.80,68.70,72.88,77.34,77.92,76.19,76.35,73.15,69.75,69.45,68.68,68.94,71.17,69.29,70.95,71.14,71.25,71.00,73.40,74.18,66.06,69.67,70.26,72.40,75.38,81.64,84.32,85.84,83.20,80.08,83.62,80.81,80.49,75.91,77.38,83.53,84.31,84.14,85.63,90.36,89.40,89.99,91.21,88.98,89.65,87.99,84.78,92.67,87.25,88.76,93.41
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, GRAPES, 1 KG",235.39,234.90,266.04,264.91,283.14,274.15,251.24,254.46,247.22,241.60,234.62,228.08,241.55,227.12,241.99,245.39,251.05,244.73,244.58,259.17,236.25,236.25,229.13,221.04,272.08,264.01,278.33,291.55,295.38,287.02,273.99,274.29,270.54,247.63,250.29,251.74,273.92,267.06,273.88,291.84,284.75,281.25,286.00,286.04,246.67,248.88,240.34,253.92,262.75,264.58,282.08,346.92,297.29,285.79,285.04,275.96,257.83,249.75,236.17,230.13
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, GRAPES, SEEDLESS, 1 KG",269.80,276.16,302.88,317.31,302.88,278.70,263.43,263.43,259.61,237.98,207.44,208.71,274.89,262.16,271.07,272.34,271.07,267.25,267.25,288.50,296.13,300.00,285.00,285.00,296.25,281.25,317.50,302.50,307.50,305.00,297.38,282.38,273.75,267.50,267.50,276.25,287.50,290.00,315.00,297.50,297.50,296.13,300.50,293.75,277.50,250.00,257.50,265.63,287.50,300.00,311.88,342.38,331.00,314.75,336.13,312.25,274.88,285.00,241.25,238.75
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, GRAPES, WITH SEEDS, 1 KG",202.77,196.59,210.47,209.76,224.31,224.61,241.19,231.44,209.93,205.50,194.73,186.65,203.95,202.30,207.10,208.82,213.06,209.96,205.18,200.53,191.52,181.38,178.06,169.17,177.53,159.31,174.50,188.90,196.73,199.73,199.02,202.50,194.10,189.38,184.67,175.51,206.58,199.89,190.07,199.40,203.59,204.87,200.12,200.03,192.31,186.77,187.12,186.70,188.67,194.35,202.79,211.39,207.64,207.33,209.25,205.97,197.69,185.34,179.77,176.79
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, GUYABANO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, JACKFRUIT, LANGKA, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, LANZONES, 1 KG",151.38,155.95,152.68,153.12,153.99,157.91,161.83,178.80,163.14,156.61,155.30,164.44,169.66,167.05,204.90,216.65,211.81,219.26,211.43,211.43,216.25,222.50,217.50,230.00,253.33,260.00,268.57,272.86,268.57,268.57,251.43,255.00,255.00,255.00,257.50,272.50,251.25,263.75,200.00,212.50,218.75,228.13,226.25,226.25,182.50,147.50,186.25,172.50,172.50,172.50,183.75,198.75,201.25,213.75,213.75,228.75,186.25,140.00,130.00,155.00
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, RAMBUTAN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, POMELO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, ORANGE, DALANDAN, MEDIUM, 1 KG",98.74,98.51,102.13,102.27,112.75,118.10,124.54,119.29,116.31,112.92,112.08,99.34,112.47,106.64,110.04,106.75,103.35,106.67,105.42,124.17,130.05,125.37,117.74,120.38,105.99,107.13,106.62,104.61,101.51,98.84,103.70,111.27,113.36,104.40,100.65,101.97,109.59,109.80,108.51,109.97,109.89,112.46,120.98,123.07,135.57,140.98,139.78,135.89,132.46,136.10,135.08,134.67,133.83,129.04,129.25,135.50,139.97,139.53,143.56,144.81
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, ORANGE, SINTONES, MEDIUM, 1 KG",38.75,36.88,37.50,41.25,38.13,36.88,40.63,48.75,46.25,45.00,45.63,50.00,56.25,52.50,69.38,65.63,65.00,72.50,78.13,64.38,60.63,55.00,56.88,61.88,56.88,43.75,48.75,64.38,100.00,80.00,75.00,100.00,131.75,184.88,205.00,190.00,160.63,146.25,146.25,141.25,133.75,137.50,137.50,147.50,146.25,143.13,140.63,141.88,133.13,116.88,111.88,115.63,118.13,113.13,114.38,119.38,114.38,116.88,118.13,111.88
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, MANDARIN, DALANGHITA, MEDIUM, 1 KG",66.73,62.80,61.13,62.08,65.23,66.47,76.58,77.92,77.19,78.81,78.32,71.39,76.57,74.63,74.99,76.85,76.85,76.23,77.77,85.99,86.07,80.56,73.39,67.10,57.66,51.51,53.03,58.66,58.10,62.10,66.67,78.39,76.72,69.01,65.28,69.28,74.13,75.63,80.09,76.10,76.10,80.00,79.85,82.97,81.72,71.88,61.51,60.91,64.48,73.67,72.23,73.11,79.67,79.36,85.08,86.02,81.13,79.33,72.61,73.03
"..REGION III (CENTRAL LUZON)","CALAMANSI, LOOSE, 1 KG",81.76,55.72,62.12,89.57,76.02,65.93,59.60,54.40,46.67,40.46,45.71,50.33,63.44,71.64,93.44,72.37,84.51,71.81,60.45,63.34,58.05,47.91,62.89,72.51,67.54,78.51,92.09,97.54,89.41,73.00,74.25,66.67,65.10,70.93,100.06,107.16,110.49,79.68,100.15,120.57,105.11,81.79,78.86,81.25,69.14,69.81,91.27,84.56,83.37,90.54,87.59,76.47,83.93,109.95,119.52,116.89,83.00,72.82,81.56,75.27
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, APPLE, RED DELICIOUS, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, CANTALOUPE, MELON, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","FRESH FRUIT, WATERMELON, PAKWAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION IV-A (CALABARZON)","FRESH FRUIT, AVOCADO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION IV-A (CALABARZON)","FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION IV-A (CALABARZON)","FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",63.20,62.93,65.62,73.37,78.33,76.19,75.50,75.38,76.52,75.67,76.06,74.12,73.92,71.56,71.73,71.78,70.08,67.01,66.75,68.60,67.10,67.65,67.15,64.78,68.28,67.13,67.98,67.33,67.23,67.08,67.15,66.38,67.13,68.63,67.80,73.90,85.20,87.95,91.20,92.48,89.03,85.58,84.35,85.13,86.63,86.50,86.00,88.28,96.03,97.38,98.85,102.58,98.30,92.63,98.75,99.90,105.58,104.78,101.58,102.23
"..REGION IV-A (CALABARZON)","FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",47.92,52.99,55.90,62.17,63.51,61.77,61.97,60.68,60.76,59.57,59.66,59.72,58.99,55.71,55.97,56.96,57.54,55.13,53.85,54.21,53.23,54.21,54.69,52.63,54.29,53.25,54.57,54.13,54.59,54.44,53.98,53.25,53.88,53.88,53.36,55.98,59.33,60.48,60.38,59.54,59.44,57.67,55.25,55.04,54.67,56.13,58.77,59.11,61.81,62.50,62.88,63.77,63.36,60.92,63.25,64.25,68.25,67.77,66.50,66.15
"..REGION IV-A (CALABARZON)","FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",38.11,42.33,43.66,47.47,48.53,46.94,47.24,46.24,45.83,45.99,46.95,47.83,46.45,43.70,43.93,43.76,45.89,43.46,42.25,40.13,39.21,39.71,42.75,41.54,42.71,42.29,39.59,41.04,39.17,40.54,40.75,39.09,37.42,33.46,33.88,33.88,36.53,36.44,38.46,39.29,41.58,42.00,38.67,37.96,37.75,38.38,38.79,38.79,37.13,38.09,38.59,38.54,35.96,36.08,35.44,35.45,36.49,39.62,39.41,39.41
"..REGION IV-A (CALABARZON)","FRESH FRUIT, GUAVA, BAYABAS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION IV-A (CALABARZON)","FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION IV-A (CALABARZON)","FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",41.82,41.82,51.63,52.28,31.37,26.80,24.18,24.18,24.18,24.18,24.18,24.18,24.18,30.72,50.97,48.35,30.06,28.10,28.10,28.75,28.75,28.75,28.75,28.75,32.19,48.44,48.25,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,40.00,48.13,48.13,48.13,33.75,28.75,28.75,28.75,28.75,28.75,28.75,35.38,49.19,50.75,44.69,28.44,23.00,28.32,35.57,36.19,36.19,36.19,36.19
"..REGION IV-A (CALABARZON)","FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",177.61,166.89,164.39,152.61,143.00,114.40,135.71,141.46,155.20,168.52,163.46,167.86,190.14,196.62,167.04,157.57,143.74,123.46,134.52,154.77,160.40,159.25,163.69,164.46,169.19,164.33,145.33,127.96,123.58,133.83,157.29,179.02,186.84,191.71,192.21,188.39,187.56,168.69,172.06,159.92,142.13,120.83,123.81,168.50,193.23,198.29,191.38,189.17,188.83,168.06,161.54,141.79,128.73,108.61,142.86,175.09,266.77,284.79,229.59,224.75
"..REGION IV-A (CALABARZON)","FRESH FRUIT, MANGO, NATIVE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
